catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
Saver,2023-12-01 14:28:00,0:44:42,17.02,1181,1054,33.93,6.45,1.35,26.13,0.0,0.0,0.0,14,Friday
UberX,2023-12-01 15:23:00,0:25:17,7.49,1071,1019,19.31,4.83,1.01,13.47,0.0,0.0,0.0,15,Friday
Saver,2023-12-01 15:56:00,0:12:16,3.45,1019,1093,10.09,1.92,0.4,8.77,0.0,1.0,0.0,15,Friday
UberX,2023-12-01 16:15:00,0:23:12,15.37,1098,1056,32.58,8.15,1.71,22.72,0.0,0.0,0.0,16,Friday
Saver,2023-12-01 16:47:00,0:10:19,2.76,1056,1013,8.77,1.67,0.35,6.75,0.0,0.0,0.0,16,Friday
UberX,2023-12-01 17:02:00,0:10:47,2.44,1012,1016,11.87,2.97,0.62,9.28,0.0,1.0,0.0,17,Friday
UberX,2023-12-01 17:12:00,0:10:02,2.46,1016,1017,14.63,3.66,0.77,10.2,0.0,0.0,0.0,17,Friday
UberX,2023-12-01 17:23:00,0:00:00,0.0,1071,1071,9.5,2.38,0.5,6.62,0.0,0.0,0.0,17,Friday
Priority,2023-12-01 17:33:00,0:18:53,5.04,1072,1013,20.42,5.11,1.07,14.24,0.0,0.0,0.0,17,Friday
UberX,2023-12-01 17:50:00,0:17:01,8.21,1013,1031,23.27,5.82,1.22,16.23,0.0,0.0,0.0,17,Friday
UberX,2023-12-01 18:34:00,0:11:42,2.53,1032,1021,9.5,2.38,0.5,8.62,0.0,2.0,0.0,18,Friday
UberX,2023-12-01 19:43:00,0:17:50,16.89,1021,1101,37.54,9.39,1.97,26.18,0.0,0.0,0.0,19,Friday
UberX,2023-12-01 20:09:00,0:07:38,4.25,1096,1101,14.33,3.58,0.75,13.0,0.0,0.0,3.0,20,Friday
Saver,2023-12-01 20:36:00,0:21:01,11.15,1102,1017,22.02,4.18,0.88,16.96,0.0,0.0,0.0,20,Friday
Saver,2023-12-01 21:00:00,0:15:56,4.45,1016,1078,12.59,2.39,0.5,13.7,0.0,1.0,3.0,21,Friday
UberX,2023-12-01 21:29:00,0:16:26,6.14,1078,1013,17.3,4.33,0.91,17.06,0.0,2.0,3.0,21,Friday
UberX,2023-12-01 21:47:00,0:09:55,6.02,1013,1019,19.58,4.9,1.03,16.65,0.0,0.0,3.0,21,Friday
Saver,2023-12-01 21:56:00,0:14:15,6.45,1019,1079,14.58,2.77,0.58,14.23,0.0,0.0,3.0,21,Friday
